"PP","LQD","IEF","IAU","MDY","VDE","EZA","IDU","FXI","VDC","RWR","IYF","VO","IBB","EWM","VNQ","Mean","CVaR"
"PP_1",213882.22,241686.68,60699.05,34867.70,37758.23,19931.27,45476.24,26545.02,151904.54,9136.20,37194.26,32233.36,19841.38,30868.89,37974.97,1001361.25,1625.93
"PP_2",0.00,0.00,282897.56,3653.96,114261.93,70842.41,69209.82,157322.60,65677.53,7925.38,0.00,30004.58,19217.60,163779.34,15207.29,1004354.48,4425.84
"PP_3",0.00,0.00,452288.96,0.00,96330.49,42674.75,0.00,293235.63,0.00,0.00,0.00,0.00,0.00,115470.16,0.00,1005523.76,7225.74
"PP_4",0.00,0.00,570041.03,0.00,30545.44,0.00,0.00,399413.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1006001.68,10025.65
"PP_5",0.00,0.00,489950.06,0.00,0.00,0.00,0.00,510049.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1006249.34,12825.56
"PP_6",0.00,0.00,398012.57,0.00,0.00,0.00,0.00,601987.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1006428.01,15625.47
"PP_7",0.00,0.00,311140.66,0.00,0.00,0.00,0.00,688859.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1006596.85,18425.37
"PP_8",0.00,0.00,225979.25,0.00,0.00,0.00,0.00,774020.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1006762.35,21225.28
"PP_9",0.00,0.00,143173.70,0.00,0.00,0.00,0.00,856826.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1006923.29,24025.19
"PP_10",0.00,0.00,61259.77,0.00,0.00,0.00,0.00,938740.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1007082.48,26825.09
